question	answer
1. At an intersection where there is a flashing amber traffic light you must:	Slow down and proceed with caution?
2. Identification plates which must be placed in an upright position in front and rear of a motor vehicle must be painted in:	Black background with white letters and figures or white luminous background with black letters and figures?
3. What does the law require as regards tinted glass and windshield of vehicles?	It shall not be so tinted, treated or darkened as to obscure the view of the inside of the vehicle from the outside.
4. You should under all conditions drive at a speed which will allow you to:	Stop within a safe distance?
5. At night when you meet another vehicle with blinding bright lights, the safest thing to do is:	Look slightly to the left hand side of the roadway?
6. When descending a steep hill, a good safe driving practice is to:	Gear down and use motor to assist in braking?
7. When driving a motor vehicle on the highway at night, you should use low beam headlights (dim lights) when:	Meeting or following another vehicle?
8. When a red signal light with a green arrow is shown at an intersection, it means:	Proceed with caution in the direction of the arrow, giving way to traffic on the full green light?
9. At what age a provisional driving permit for P. Car will be granted?	17 years.
10. In Port-of-Spain and San Fernando it is unlawful to reverse:	Round a corner or junction?
11. Before moving your car from a parked position, you should:	Check other traffic, signal and pull from curb when it is safe to do so?
12. If a Traffic signal changes while a pedestrian is still in the intersection, which of the following has the right of way?	The pedestrian.
13. It is more dangerous to drive at the maximum speed limit at night than during day-time because:	You cannot see as far ahead at night?
14. When approaching a red traffic signal light and a police in uniform motions you to go through, you must:	Go through at once?
15. When on streets designed for two-way traffic, you hear the siren of an emergency vehicle, what does the law require you to do?	Pull to the left and stop.
16. When approaching an intersection where a stop sign faces you, what does the law require you to do?	Stop and proceed when it is safe to do so.
17. Parking lights may be used:	For parking only?
18. What brakes are required by law to be fitted on a motor vehicle?	Two independent braking system each capable of stopping the vehicle within a reasonable distance.
19. You are permitted to drive a motor vehicle, other than a motor cycle, under the authority of a provisional permit, provided:	You have a licensed driver on the seat beside you?
20. Which of the following has the right of way over all other at an intersection when the signal light is green?	Pedestrians crossing with the light.
21. When driving on a dual carriage-way, what does the law require you to do?	Drive on the left side of the carriage-way except when overtaking.
22. When the driver of another vehicle is about to overtake and pass your vehicle, you must:	Move to the left and allow such vehicle to pass and shall not speed abreast of the overtaking vehicle?
23. Never change lanes in traffic without:	Giving proper signal and looking to make sure that the move can be made safely?
24. When your motor vehicle is broken down on the roadway what does the law require you to do?	Immediately remove it as near to the left of the roadway as possible and indicate its presence by lighting or otherwise.
25. Unless otherwise posted, the maximum speed limit allowed in the City, Boroughs, Villages or built-up areas is:	50 kilometres (30 miles) an hour?
26. Except when you intend to over-take and pass another vehicle or when you intend to make a right turn, you should:	Always keep well to the left?
27. When driving a motor vehicle, the law requires at all times full control and view, therefore a child should be carried:	On the seat left of the driver or on the rear seat?
